Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
4.0,5,"[45, 29, 22, 29, 29]","['softmax', 'tanh', 'softmax', 'tanh', 'tanh']",3.5437,4.4704,1.7829,2272927550.0,1489202150.0,783725400.0
0.1,6,"[49, 41, 36, 39, 37, 50]","['tanh', 'relu', 'softmax', 'relu', 'relu', 'relu']",,,,0.0,0.0,0.0
0.2625,6,"[49, 31, 62, 63, 57, 53]","['relu', 'softmax', 'tanh', 'softmax', 'softmax', 'relu']",,,,0.0,0.0,0.0
0.42500000000000004,6,"[45, 46, 39, 44, 51, 51]","['softmax', 'tanh', 'relu', 'softmax', 'relu', 'softmax']",,,,0.0,0.0,0.0
0.5875,6,"[16, 40, 56, 50, 24, 35]","['softmax', 'tanh', 'relu', 'softmax', 'softmax', 'tanh']",,,,0.0,0.0,0.0
0.75,6,"[24, 22, 29, 33, 19, 35]","['softmax', 'tanh', 'softmax', 'tanh', 'tanh', 'relu']",,,,0.0,0.0,0.0
0.9125,6,"[49, 31, 48, 30, 37, 53]","['tanh', 'tanh', 'relu', 'softmax', 'tanh', 'relu']",,,,0.0,0.0,0.0
1.0750000000000002,6,"[36, 19, 45, 22, 54, 25]","['relu', 'tanh', 'relu', 'softmax', 'tanh', 'tanh']",3.6181,4.3766,2.1812,2275563300.0,1489365675.0,786197625.0
1.2375,6,"[43, 51, 41, 49, 27, 37]","['softmax', 'softmax', 'relu', 'softmax', 'relu', 'softmax']",3.3673,4.4259,1.3571,2277486525.0,1491845350.0,785641175.0
1.4000000000000001,6,"[52, 51, 60, 20, 35, 26]","['tanh', 'relu', 'softmax', 'tanh', 'relu', 'tanh']",3.5142,4.5076,1.6204,2274027125.0,1491637725.0,782389400.0
1.5625000000000002,6,"[59, 49, 60, 57, 23, 62]","['tanh', 'tanh', 'tanh', 'softmax', 'softmax', 'relu']",3.5835,4.4911,1.8535,2272276100.0,1490439875.0,781836225.0
1.725,6,"[24, 50, 23, 35, 63, 37]","['relu', 'tanh', 'tanh', 'tanh', 'relu', 'softmax']",3.5411,4.4225,1.8445,2267326225.0,1492124600.0,775201625.0
1.8875000000000002,6,"[45, 36, 23, 25, 57, 59]","['relu', 'relu', 'tanh', 'softmax', 'relu', 'softmax']",3.593,4.466,1.9289,2269351150.0,1488515200.0,780835950.0
2.0500000000000003,6,"[43, 59, 17, 62, 16, 32]","['relu', 'relu', 'tanh', 'softmax', 'softmax', 'softmax']",3.4562,4.3723,1.7091,2272043375.0,1490514125.0,781529250.0
2.2125000000000004,6,"[46, 50, 39, 18, 19, 60]","['relu', 'tanh', 'softmax', 'relu', 'relu', 'tanh']",3.6641,4.5628,1.943,2269500775.0,1490964425.0,778536350.0
2.375,6,"[60, 45, 28, 27, 33, 27]","['softmax', 'softmax', 'relu', 'relu', 'softmax', 'relu']",3.4899,4.431,1.687,2276161050.0,1495539425.0,780621625.0
2.5375,6,"[48, 21, 39, 55, 18, 33]","['relu', 'relu', 'relu', 'tanh', 'tanh', 'relu']",3.5285,4.4713,1.7244,2274156900.0,1493615100.0,780541800.0
2.7,6,"[48, 35, 48, 49, 24, 28]","['relu', 'softmax', 'relu', 'softmax', 'tanh', 'relu']",3.5059,4.4479,1.7237,2274773125.0,1488202200.0,786570925.0
2.8625000000000003,6,"[44, 47, 28, 31, 61, 22]","['tanh', 'tanh', 'softmax', 'relu', 'relu', 'softmax']",3.4763,4.397,1.7366,2271581000.0,1485430400.0,786150600.0
